O2_flux,CH4_flux,CH4_O2_flux_ratio
830000000000.0,78020000000.0,0.094
835000000000.0,78490000000.0,0.094
840000000000.0,78960000000.0,0.094
845000000000.0,79430000000.0,0.094
850000000000.0,79900000000.0,0.094
855000000000.0,80370000000.0,0.094
860000000000.0,80840000000.0,0.094
865000000000.0,81310000000.0,0.094
870000000000.0,81780000000.0,0.094
875000000000.0,82250000000.0,0.094
880000000000.0,82720000000.0,0.094
885000000000.0,83190000000.0,0.094
890000000000.0,83660000000.0,0.094
895000000000.0,84130000000.0,0.094
900000000000.0,84600000000.0,0.094
905000000000.0,85070000000.0,0.094
910000000000.0,85540000000.0,0.094
915000000000.0,86010000000.0,0.094
920000000000.0,86480000000.0,0.094
925000000000.0,86950000000.0,0.094
930000000000.0,87420000000.0,0.094
935000000000.0,87890000000.0,0.094
940000000000.0,88360000000.0,0.094
945000000000.0,88830000000.0,0.094
950000000000.0,89300000000.0,0.094
955000000000.0,89770000000.0,0.094
960000000000.0,90240000000.0,0.094
965000000000.0,90710000000.0,0.094
970000000000.0,91180000000.0,0.094
975000000000.0,91650000000.0,0.094
980000000000.0,92120000000.0,0.094
985000000000.0,92590000000.0,0.094
990000000000.0,93060000000.0,0.094
995000000000.0,93530000000.0,0.094
1000000000000.0,94000000000.0,0.094
1050000000000.0,98700000000.0,0.094
1100000000000.0,103400000000.0,0.094
1150000000000.0,108100000000.0,0.094
1200000000000.0,112800000000.0,0.094
1250000000000.0,117500000000.0,0.094
1300000000000.0,122200000000.0,0.094
1350000000000.0,126900000000.0,0.094
1400000000000.0,131600000000.0,0.094
1450000000000.0,136300000000.0,0.094
1500000000000.0,141000000000.0,0.094
1550000000000.0,145700000000.0,0.094
1600000000000.0,150400000000.0,0.094
1650000000000.0,155100000000.0,0.094
1700000000000.0,159800000000.0,0.094
1750000000000.0,164500000000.0,0.094
1800000000000.0,169200000000.0,0.094
1850000000000.0,173900000000.0,0.094
1900000000000.0,178600000000.0,0.094
1950000000000.0,183300000000.0,0.094
2000000000000.0,188000000000.0,0.094
2050000000000.0,192700000000.0,0.094
2100000000000.0,197400000000.0,0.094
2150000000000.0,202100000000.0,0.094
2200000000000.0,206800000000.0,0.094
2250000000000.0,211500000000.0,0.094
2300000000000.0,216200000000.0,0.094
2350000000000.0,220900000000.0,0.094
2400000000000.0,225600000000.0,0.094
2450000000000.0,230300000000.0,0.094
2500000000000.0,235000000000.0,0.094
2550000000000.0,239700000000.0,0.094
2600000000000.0,244400000000.0,0.094
2650000000000.0,249100000000.0,0.094
2700000000000.0,253800000000.0,0.094
2750000000000.0,258500000000.0,0.094
2800000000000.0,263200000000.0,0.094
2850000000000.0,267900000000.0,0.094
2900000000000.0,272600000000.0,0.094
2950000000000.0,277300000000.0,0.094
3000000000000.0,282000000000.0,0.094
3050000000000.0,286700000000.0,0.094
3100000000000.0,291400000000.0,0.094
3150000000000.0,296100000000.0,0.094
3200000000000.0,300800000000.0,0.094
3250000000000.0,305500000000.0,0.094
3300000000000.0,310200000000.0,0.094
3350000000000.0,314900000000.0,0.094
3400000000000.0,319600000000.0,0.094
3450000000000.0,324300000000.0,0.094
3500000000000.0,329000000000.0,0.094
3550000000000.0,333700000000.0,0.094
3600000000000.0,338400000000.0,0.094
3650000000000.0,343100000000.0,0.094
3700000000000.0,347800000000.0,0.094
3750000000000.0,352500000000.0,0.094
3800000000000.0,357200000000.0,0.094
3850000000000.0,361900000000.0,0.094
3900000000000.0,366600000000.0,0.094
3950000000000.0,371300000000.0,0.094
4000000000000.0,376000000000.0,0.094
4050000000000.0,380700000000.0,0.094
4100000000000.0,385400000000.0,0.094
4150000000000.0,390100000000.0,0.094
4200000000000.0,394800000000.0,0.094
4250000000000.0,399500000000.0,0.094
4300000000000.0,404200000000.0,0.094
4350000000000.0,408900000000.0,0.094
