240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360
239.79,244.79,249.79,254.8,259.8,264.81,269.83,274.84,279.85,284.86,289.87,294.88,299.89,304.9,309.9,314.91,319.91,324.91,329.91,334.91,339.91,344.91,349.91,354.91,359.91
239.58,244.58,249.59,254.59,259.61,264.63,269.65,274.68,279.7,284.73,289.75,294.77,299.79,304.8,309.81,314.82,319.82,324.83,329.83,334.83,339.83,344.83,349.82,354.82,359.82
239.37,244.37,249.38,254.39,259.41,264.44,269.48,274.51,279.55,284.59,289.62,294.65,299.68,304.7,309.71,314.73,319.73,324.74,329.74,334.74,339.74,344.74,349.74,354.73,359.72
239.16,244.16,249.17,254.19,259.22,264.25,269.3,274.35,279.4,284.45,289.5,294.54,299.57,304.6,309.62,314.64,319.65,324.65,329.66,334.66,339.66,344.65,349.65,354.64,359.63
238.95,243.95,248.96,253.99,259.02,264.07,269.12,274.19,279.25,284.31,289.37,294.42,299.46,304.5,309.52,314.54,319.56,324.57,329.57,334.57,339.57,344.57,349.56,354.55,359.54
238.74,243.74,248.75,253.78,258.82,263.88,268.95,274.02,279.1,284.17,289.24,294.3,299.35,304.4,309.43,314.45,319.47,324.48,329.49,334.49,339.49,344.48,349.47,354.46,359.45
238.53,243.53,248.55,253.58,258.63,263.69,268.77,273.86,278.95,284.04,289.12,294.19,299.25,304.3,309.33,314.36,319.38,324.39,329.4,334.4,339.4,344.39,349.39,354.37,359.36
238.32,243.32,248.34,253.38,258.43,263.51,268.59,273.69,278.8,283.9,288.99,294.07,299.14,304.19,309.24,314.27,319.29,324.31,329.32,334.32,339.32,344.31,349.3,354.28,359.27
238.11,243.11,248.13,253.17,258.23,263.32,268.42,273.53,278.65,283.76,288.86,293.95,299.03,304.09,309.14,314.18,319.21,324.22,329.23,334.23,339.23,344.22,349.21,354.19,359.18
237.9,242.9,247.92,252.97,258.04,263.13,268.24,273.37,278.5,283.62,288.74,293.84,298.92,303.99,309.05,314.09,319.12,324.14,329.15,334.15,339.14,344.14,349.12,354.11,359.08
237.69,242.69,247.71,252.76,257.84,262.94,268.06,273.2,278.34,283.48,288.61,293.72,298.82,303.89,308.95,314,319.03,324.05,329.06,334.06,339.06,344.05,349.04,354.02,358.99
237.48,242.48,247.51,252.56,257.64,262.75,267.89,273.04,278.19,283.34,288.48,293.6,298.71,303.79,308.86,313.91,318.94,323.96,328.98,333.98,338.97,343.96,348.95,353.93,358.9
237.27,242.27,247.3,252.36,257.44,262.56,267.71,272.87,278.04,283.2,288.35,293.49,298.6,303.69,308.76,313.82,318.85,323.88,328.89,333.89,338.89,343.88,348.86,353.84,358.81
237.06,242.06,247.09,252.15,257.25,262.37,267.53,272.71,277.89,283.06,288.23,293.37,298.49,303.59,308.67,313.72,318.76,323.79,328.8,333.81,338.8,343.79,348.77,353.75,358.72
236.85,241.85,246.88,251.95,257.05,262.18,267.35,272.54,277.74,282.92,288.1,293.25,298.38,303.49,308.57,313.63,318.68,323.7,328.72,333.72,338.72,343.71,348.69,353.66,358.63
236.64,241.64,246.67,251.74,256.85,261.99,267.17,272.37,277.58,282.78,287.97,293.14,298.28,303.39,308.48,313.54,318.59,323.62,328.63,333.64,338.63,343.62,348.6,353.57,358.54
236.43,241.43,246.46,251.54,256.65,261.8,266.99,272.21,277.43,282.64,287.84,293.02,298.17,303.29,308.38,313.45,318.5,323.53,328.55,333.55,338.55,343.53,348.51,353.48,358.45
236.22,241.22,246.26,251.33,256.45,261.61,266.81,272.04,277.28,282.5,287.72,292.9,298.06,303.19,308.29,313.36,318.41,323.45,328.46,333.47,338.46,343.45,348.43,353.39,358.36
236.01,241.01,246.05,251.13,256.25,261.42,266.64,271.87,277.12,282.36,287.59,292.79,297.95,303.09,308.19,313.27,318.32,323.36,328.38,333.39,338.38,343.36,348.34,353.31,358.27
235.8,240.8,245.84,250.92,256.05,261.23,266.46,271.71,276.97,282.22,287.46,292.67,297.84,302.99,308.1,313.18,318.24,323.27,328.29,333.3,338.29,343.28,348.25,353.22,358.18
235.59,240.59,245.63,250.72,255.85,261.04,266.28,271.54,276.82,282.08,287.33,292.55,297.74,302.88,308,313.09,318.15,323.19,328.21,333.22,338.21,343.19,348.16,353.13,358.08
235.38,240.38,245.42,250.51,255.65,260.85,266.1,271.37,276.66,281.94,287.2,292.43,297.63,302.78,307.91,313,318.06,323.1,328.13,333.13,338.12,343.11,348.08,353.04,357.99
235.17,240.17,245.21,250.31,255.45,260.66,265.91,271.2,276.51,281.8,287.08,292.32,297.52,302.68,307.81,312.91,317.97,323.02,328.04,333.05,338.04,343.02,347.99,352.95,357.9
234.96,239.96,245,250.1,255.25,260.47,265.73,271.04,276.35,281.66,286.95,292.2,297.41,302.58,307.72,312.82,317.89,322.93,327.96,332.96,337.96,342.93,347.9,352.86,357.81
234.75,239.75,244.79,249.89,255.05,260.28,265.55,270.87,276.2,281.52,286.82,292.08,297.3,302.48,307.62,312.72,317.8,322.85,327.87,332.88,337.87,342.85,347.82,352.77,357.72
234.54,239.54,244.59,249.69,254.85,260.08,265.37,270.7,276.04,281.38,286.69,291.96,297.19,302.38,307.53,312.63,317.71,322.76,327.79,332.79,337.79,342.76,347.73,352.69,357.63
234.33,239.33,244.38,249.48,254.65,259.89,265.19,270.53,275.89,281.24,286.56,291.85,297.09,302.28,307.43,312.54,317.62,322.67,327.7,332.71,337.7,342.68,347.64,352.6,357.54
234.12,239.12,244.17,249.28,254.45,259.7,265.01,270.36,275.73,281.09,286.43,291.73,296.98,302.18,307.34,312.45,317.53,322.59,327.62,332.63,337.62,342.59,347.56,352.51,357.45
233.92,238.91,243.96,249.07,254.25,259.51,264.83,270.19,275.58,280.95,286.3,291.61,296.87,302.08,307.24,312.36,317.45,322.5,327.53,332.54,337.53,342.51,347.47,352.42,357.36
233.71,238.7,243.75,248.86,254.05,259.31,264.64,270.02,275.42,280.81,286.17,291.49,296.76,301.98,307.15,312.27,317.36,322.42,327.45,332.46,337.45,342.42,347.38,352.33,357.27
233.5,238.49,243.54,248.66,253.85,259.12,264.46,269.85,275.26,280.67,286.04,291.37,296.65,301.88,307.05,312.18,317.27,322.33,327.36,332.37,337.36,342.34,347.3,352.24,357.18
233.29,238.28,243.33,248.45,253.65,258.93,264.28,269.68,275.11,280.52,285.91,291.26,296.54,301.77,306.96,312.09,317.18,322.25,327.28,332.29,337.28,342.25,347.21,352.16,357.09
233.08,238.07,243.12,248.25,253.45,258.73,264.1,269.51,274.95,280.38,285.78,291.14,296.43,301.67,306.86,312,317.1,322.16,327.19,332.21,337.2,342.17,347.12,352.07,357
